numQueus, numServers, servermean, qmax, q1total, q1avglen, q1avgSys, q2total, q2avglen, q2avgSys, s1idle, s2idle, dropcount
2, 2, 10, 10, 25160, 0.00243763763878, 10.4379539132, 24840, 0.00251208058653, 10.6444798921, 0.949867369328, 0.949651656822, 0
2, 2, 15, 10, 24766, 0.00538749407732, 16.09338219, 25234, 0.00546081118197, 16.2703125023, 0.925460494245, 0.923172339043, 0
2, 2, 20, 10, 24713, 0.00929795926093, 21.9863990046, 25287, 0.00937628760426, 21.8230624429, 0.900440508763, 0.898853348404, 0
2, 2, 25, 10, 25035, 0.0136301742996, 27.6292578705, 24965, 0.0136693523572, 27.3580970327, 0.875701325554, 0.877467907625, 0
2, 2, 30, 10, 24973, 0.0204803640202, 34.0583738261, 25027, 0.0207125160838, 34.12484616, 0.850378520539, 0.849886028538, 0
2, 2, 35, 10, 24998, 0.0278224167063, 41.0073624124, 25002, 0.0277750765893, 40.3679915009, 0.823066735588, 0.826294010513, 0
2, 2, 40, 10, 24879, 0.0340651423971, 46.694918418, 25120, 0.0342695717397, 46.7905810926, 0.803018607805, 0.800508770445, 0
2, 2, 45, 10, 24814, 0.044167145092, 53.8380847645, 25185, 0.0452262529924, 53.9061751304, 0.778833536424, 0.775520433877, 0
2, 2, 50, 10, 24979, 0.0563976004036, 62.0186524754, 25021, 0.0549253437801, 60.7215469701, 0.748388396849, 0.752827323103, 0
2, 2, 55, 10, 25045, 0.06903170262, 68.5157366467, 24954, 0.0678457040449, 68.7318051972, 0.723216328128, 0.722213615016, 0
2, 2, 60, 10, 25073, 0.0796748311671, 75.5242435379, 24927, 0.0823822396467, 76.5430136469, 0.701655685848, 0.701500135045, 0
2, 2, 65, 10, 25017, 0.0972457220332, 85.1115455968, 24983, 0.0963249912366, 84.0779377248, 0.672300905335, 0.67710037875, 0
2, 2, 70, 10, 24921, 0.112733705164, 92.3848114885, 25079, 0.118436359291, 93.8475528882, 0.653076045358, 0.648514340254, 0
2, 2, 75, 10, 25021, 0.13423041606, 102.460767219, 24978, 0.134853092763, 102.557228047, 0.624252980037, 0.625275553186, 0
2, 2, 80, 10, 24916, 0.163615454295, 112.210333388, 25084, 0.164071220574, 112.430270267, 0.600705716299, 0.596294733953, 0
2, 2, 85, 10, 25213, 0.178220738554, 120.693908422, 24787, 0.181736922715, 122.18776319, 0.572732963107, 0.579128813989, 0
2, 2, 90, 10, 25029, 0.21113200354, 131.889185518, 24970, 0.206743270476, 130.644811509, 0.553056293851, 0.556403268284, 0
2, 2, 95, 10, 24970, 0.237959020115, 142.762680257, 25029, 0.242058094762, 143.468193597, 0.525535631328, 0.524468329982, 0
2, 2, 100, 10, 25032, 0.267108588854, 152.257870079, 24967, 0.267228605919, 152.812622783, 0.5051716881, 0.504520022745, 0
2, 2, 105, 10, 25071, 0.32289474445, 167.064194542, 24928, 0.333995722294, 172.310379062, 0.477480231301, 0.467011810444, 0
2, 2, 110, 10, 25087, 0.371368416937, 184.186962945, 24912, 0.370948660844, 184.693060703, 0.447149783397, 0.450577320981, 0
2, 2, 115, 10, 24762, 0.423948106535, 201.510129527, 25237, 0.42014814775, 197.637421585, 0.425240685378, 0.421843155918, 0
2, 2, 120, 10, 25022, 0.474429558545, 215.563545898, 24978, 0.476070887522, 216.568871434, 0.396655683149, 0.395048446298, 0
2, 2, 125, 10, 24995, 0.550736173324, 234.933065288, 25005, 0.551603201378, 235.600135558, 0.37773665204, 0.374823724926, 0
2, 2, 130, 10, 24873, 0.638949484101, 259.055336336, 25124, 0.628883604432, 254.3484414, 0.348884380398, 0.349662169734, 1
2, 2, 135, 10, 25021, 0.716688180828, 278.779718656, 24974, 0.71679263621, 279.702175334, 0.329068158786, 0.32714016962, 6
2, 2, 140, 10, 25215, 0.888538093193, 316.659552729, 24777, 0.897256600118, 323.650002221, 0.301923297364, 0.303695232601, 13
2, 2, 145, 10, 25000, 0.983980408786, 342.34502557, 24987, 0.984322704794, 342.446214196, 0.275315876313, 0.276071577865, 21
2, 2, 150, 10, 24983, 1.16360718516, 384.567367356, 25008, 1.16711333702, 384.412757984, 0.248457110736, 0.250859422511, 15
2, 2, 155, 10, 25056, 1.28549153459, 413.368661057, 24921, 1.28467319408, 415.0848126, 0.226830072575, 0.228604193241, 44
2, 2, 160, 10, 24825, 1.60596169495, 483.488402808, 25124, 1.5958324277, 474.955655119, 0.196393110961, 0.200163856973, 93
2, 2, 165, 10, 25035, 1.71525209056, 507.321768809, 24897, 1.71877019476, 512.187610822, 0.188792317168, 0.182054453157, 131
2, 2, 170, 10, 24932, 2.16262903543, 603.710992422, 24936, 2.16685268496, 604.555462389, 0.154333104657, 0.153840884064, 257
2, 2, 175, 10, 24927, 2.6837609573, 714.598629225, 24850, 2.67702435509, 715.33267065, 0.122812275388, 0.123308136017, 436
2, 2, 180, 10, 24871, 2.92319695451, 771.992025948, 24761, 2.93074961863, 776.614451906, 0.112047743957, 0.113673091722, 731
2, 2, 185, 10, 24856, 3.33046490361, 864.044085707, 24782, 3.33398799061, 867.034016707, 0.0877651096866, 0.0891211709947, 718
2, 2, 190, 10, 24723, 3.58759411632, 928.894998213, 24742, 3.59476431784, 929.577481265, 0.0814508835517, 0.0822327154077, 1053
2, 2, 195, 10, 24469, 4.55347986061, 1141.38005484, 24562, 4.56633685885, 1139.65672486, 0.0534692638934, 0.0531720282472, 1924
2, 2, 200, 10, 24482, 4.57415634656, 1159.52891032, 24452, 4.58784801565, 1164.74273229, 0.0519435889122, 0.0474870937548, 2128
